unique_id,team_name,position,value,pred_Naive,pred_LGBMRegressor_no_exog,pred_LGBMRegressor_with_exog,pred_LSTMWithReLU,pred_season,picked_Naive,captain_Naive,first_xi_Naive,season,picked_time,picked_LGBMRegressor_no_exog,captain_LGBMRegressor_no_exog,first_xi_LGBMRegressor_no_exog,picked_LGBMRegressor_with_exog,captain_LGBMRegressor_with_exog,first_xi_LGBMRegressor_with_exog,picked_LSTMWithReLU,captain_LSTMWithReLU,first_xi_LSTMWithReLU
Callum Wilson,Newcastle,FWD,70.0,0.0,1.4232140733139906,1.4766234078366423,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Calvin Bassey,Fulham,DEF,45.0,2.0,2.7614419534695345,2.7544225467508543,1.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Cameron Archer,Southampton,FWD,50.0,1.0,1.8488002665997638,2.2040005839816086,1.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Cameron Burgess,Ipswich,DEF,40.0,0.0,0.33358705975262,0.9065277892854537,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Cameron Humphreys,Ipswich,MID,45.0,0.0,0.33358705975262,0.9502907429164884,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Cameron Peupion,Brighton,MID,45.0,0.0,0.3192268438666069,0.3260765941488744,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Caoimhin Kelleher,Liverpool,GK,45.0,0.0,0.5756268941423683,0.973667411986911,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Carl Rushworth,Brighton,GK,40.0,0.0,0.33358705975262,0.39430940731591685,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Carlos Alcaraz Durán,Southampton,MID,50.0,0.0,1.0621625833065385,2.3161897106859395,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Carlos Baleba,Brighton,MID,50.0,1.0,1.762575793028951,1.7922890391839477,1.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Carlos Henrique Casimiro,Manchester Utd,MID,50.0,2.0,2.7618016441583397,3.039929172992448,1.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Carlos Miguel dos Santos Pereira,Nottingham,GK,44.0,0.0,0.33358705975262,0.512420146467606,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Carlos Vinícius Alves Morais,Fulham,FWD,50.0,0.0,0.5119640312278346,0.5160786411278669,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Carney Chukwuemeka,Chelsea,MID,50.0,0.0,0.46161628906216395,0.5001587677728949,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Cesare Casadei,Chelsea,MID,45.0,0.0,0.7556332864282232,0.803332474310057,1.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Chadi Riad Dnanou,Crystal Palace,DEF,45.0,1.0,1.005397399333941,1.1019651808406825,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Charlie Taylor,Southampton,DEF,40.0,1.0,1.005397399333941,2.37443040957016,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Cheick Doucouré,Crystal Palace,MID,50.0,0.0,0.8842655963398846,0.7571944541813859,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Chris Mepham,Bournemouth,DEF,45.0,0.0,0.5763501333670975,0.5571670227987525,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Chris Richards,Crystal Palace,DEF,45.0,1.0,2.4778597609783466,2.315728205654852,1.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Chris Wood,Nottingham,FWD,61.0,1.0,3.813446779846949,2.3588116696375026,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Christian Eriksen,Manchester Utd,MID,55.0,0.0,1.225641790707471,1.460116813233787,1.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Christian Nørgaard,Brentford,MID,50.0,1.0,2.2350219951901136,2.1412968890433,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Christian Walton,Ipswich,GK,45.0,0.0,1.72319096491782,2.587082228867384,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Christopher Nkunku,Chelsea,MID,65.0,1.0,1.9411583937399768,2.0434524609080635,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Cieran Slicker,Ipswich,GK,40.0,0.0,0.33358705975262,0.8804510510332925,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Cody Gakpo,Liverpool,FWD,74.0,1.0,3.131226791443065,3.2679699552075556,1.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
